الهجرة	
هِجْرَةٌ	"переселение"
حِوَارٌ	"диалог, беседа"
هَاجَرَ	"переселяться"
مُكَرَّمٌ	"высокочтимый"
عِنْدَمَا	"когда, в то время, как ..."
اِشْتَدَّ عَلَى	"усиливаться для кого"
عَذَابٌ أعْذِيَةٌ عَذَابَاتٌ	"испытание, наказание"
كَافِرٌ كُفَّارٌ كَفَرَةٌ	"неверный"
بَنَى يَبْنِي	"строить, возводить"
شَرِيفٌ	"благородный"
مُهَاجِرٌ	"переселенец"
آخَى	"1. брататься; 2. устанавливать братские отношения"
نَاصِرٌ أنْصَارٌ	"1. помогающий; 2. помощник"
سَمَّى	"называть, давать имя (نصب أو ب)"
نَصَرَ يَنْصُرُ	"помогать, оказывать помощь"
أَصْبَحَ	"делаться, становиться (из сестер كان)"
جَزِيلٌ	"1. большой, обильный; 2. достопочтимый"
عَفْوٌ	"прощение, извинение"
صَاحِبٌ أصْحَابٌ صَحْبٌ	"1. друг, товарищ; 2. хозяин; 3. сподвижник, последователь"
المسجد النبوي	
نَبَوِيٌّ	"пророческий"
دِينَارٌ دَنَانِيرُ دِينَارَاتٌ	"динар"
عَهْدٌ	"время, эпоха"
بَسِيطٌ	"простой, несложный"
بِنَاءٌ أَبْنِيَةٌ	"строение, конструкция"
اِجْتَمَعَ يَجْتَمِعُ	"1. собираться, сходиться; 2. объединяться"
اِسْتَمَعَ يَسْتَمِعُ	"слушать, выслушивать, прислушиваться"
تَحَدَّثَ عَنْ (إلى)	"рассказывать о (кому)"
أَمْرٌ أُمُورٌ	"дело, положение, вопрос"
دُنْيَا دُنْيَوَاتٌ دُنًى	"мирская жизнь"
حَلْقَةٌ حَلَقَاتٌ	"кружок, круг людей"
حَلَقَاتُ العِلْمِ	"кружки знания"
تَلَاقَى	"встречаться друг с другом"
فَضْلٌ أَفْضَالٌ فُضُولٌ	"достоинство"
شَدَّ الرِّحَالَ	"отправляться в путь"
رَحْلٌ رِحَالٌ	"1. седло; 2. багаж"
سِوَى	"исключая, кроме"
مُتَّفَقٌ عليه	"согласованный"
رَوْضَةٌ رِيَاضٌ	"сад"
مَكَانٌ أَمَاكِنُ أَمْكِنَةٌ	"место"
التَّدْرِبَاتُ الكِتَابِيَّةُ	
خُطْبَةٌ خُطَبٌ	"речь, проповедь"
خُطْبَةُ الإِمَامِ	"проповедь имама"
مَرَضٌ أَمْرَاضٌ	"болезнь, заболевание, недуг"
كَوَّنَ يُكَوِّنُ كَوِّنْ	"составлять, образовывать"
مُسْتَخْدِمٌ	"использованный"
في مكتب البريد	
طَابِعٌ طَوَابِعُ	"марка, печать, штемпель"
فِئَةٌ فِئَاتٌ	"стоимость, цена"
مُوَظَّفٌ	"служащий"
تَفَضَّلَ	"сделать одолжение"
تَفَضَّلْ	"пожалуйста"
بَاقٍ	"сдача, остаток"
أَرْسَلَ	"посылать, отправлять"
رِسَالَةٌ مُسَجَّلَةٌ	"заказное письмо"
بَرْقِيَّةٌ	"телеграмма"
شُبَّاكٌ شَبَابِيكُ	"окно, окошко (кассы, бюро)"
فِي المَكْتَبِ المُجَاوِرِ لِمَكْتَبِنَا	"в соседнем отделении"
أعْطَى	"давать, предоставлять"
مِنْ فَضْلِكَ	"пожалуйста (при просьбе)"
دِرْهَمٌ دَرَاهِمُ	"дирхем (валюта)"
قِرْشٌ قُرُوشٌ	"пиастр (валюта)"
فِرَنْكٌ فِرَنْكَاتٌ	"франк (валюта)"
رِسَالَةٌ إِلَى أَبِي
وَالِدٌ	"1. родитель; 2. отец"
حَبِيبٌ	"любимый, возлюбленный"
شَهِيرٌ	"известный"
عَافِيَةٌ عَوَافٍ	"здоровье, хорошее самучувствие"
صَحَّةٌ	"здоровье"
بِضْعٌ بِضْعَةٌ	"некоторое количество, несколько"
سَعِيدٌ	"счастливый, благополучный"
اِنْتَظَرَ	"1. ожидать; 2. давать отсрочку"
رَدٌّ	"1. возвращение; 2. ответ"
تَحِيَّةٌ	"1. приветствие; 2. привет"
بَارٌ بَرَرَةٌ	"1. послушный; 2. добрый; 3. набожный; 4. правдивый"
عَزِيزٌ	"1. сильный, могущественный; 2. редкий, ценный; 3. милый, дорогой"
وَصَلَ إلى	"достигать, доходить"
سَافَرَ	"отправляться, ехать, совершать путешествие"
تَالٍ	"следующий, ближайший"
خَتَمَ	"1. ставить печать; 2. запечатывать; 3. завершать"
حَوَّلَ يُحَوِّلُ	"изменять; преобразовывать, превращать"
مُكَالَمَةٌ	"беседа, разговор"
وُصُولٌ	"1. прибытие, приезд; 2. достижение, получение (чего-л.)"
عَوْدَةٌ	"1. возвращение, возраждение; 2. повторение"
التَّدْرِبَاتُ الكِتَابِيَّةُ	
قِيَادَةٌ	"вождение"
قِيَادَةُ السَّيَّارَةِ	"вождение автомобиля"
سَلَّمَ	"получать, принимать (письмо)"
هَلَلَةٌ هِلَالَةٌ	"денежная единица в Йемене"
عِنْدَ الطَّبِيبِ	
أَرْقَدَ	"ложиться"
فَحَصَ يَفْحَصُ	"осматривать, обследовать"
حُمًّى	"лихородка, горячка, жар"
صُدَاعٌ	"головная боль"
مِقْيَاسٌ	"измерительный прибор"
حَرَارَةٌ	"1. жара, теплота; 2. температура"
مِقْيَاسُ الحَرَارَةِ	"градусник"
زُكَامٌ	"простуда, насморк"
خَفِيفٌ	"1. легкий; 2. слабый"
حُقَنٌ	"впрыскиваемое средство, инъекция"
قُرْصٌ أَقْرَاصٌ	"таблетка"
اسْتَرَاحَ يَسْتَرِيحُ	"отдыхать"
شَعَرَ ب	"чуствовать, ощущать, воспринимать"
فَحَْصٌ	"осмотр, обследование"
أَبُو بَكْرٍ الرَّازِي	
اِسْتَفَادَ	"извлекать пользу"
صَارَ	"становиться, делаться"
مُخْتَلِفٌ	"различный, разнообразный"
أَهَمُّ	"самый важный, важнейший"
هَامٌ	"1. важный; 2. интересный"
عَدِيدٌ	"многочисленный"
حَاوٍ	"охватывающий"
صِنَاعَةٌ	"1. искусство; 2. ремесло, профессия"
مَرْجِعٌ مَرَاجِعُ	"авторитетный источник, пособие, справочник"
عَاشَ يَعِيشُ	"жить, существовать"
مَعْرُوفٌ مَعَارِفُ	"1. известный; 2. одобряемый"
عَكْسٌ	"антоним"
ضِدٌّ أَضْدَادٌ	"противоположность, антоним"
مُتَرَادِفَةٌ	"синоним"
التَّدْرِبَاتُ الكِتَابِيَّةُ	
أَلَمٌ آلَامٌ	"1. боль; 2. страдание, мука"
بَطْنٌ بُطُونٌ	"живот, желудок"
فَضَّلَ	"отдавать предпочтение"
شَرَابٌ	"питье, напиток"
مُهِمٌّ	"важный, значительный, серьезный"
رَتَّبَ	"приводить в порядок; располагать по порядку"
اِحْتَرَمَ يَحْتَرِمُ	"уважать, почитать"
